Name,Roll Number,Class,DOB,Contact
Vincenzo Viger,521380,S5,9/8/1997,5831184766
Tabatha Salzano,892625,S5,20/08/1997,7638616385
Lori Sea,450711,S5,10/9/1997,8819372748
Ninfa Feliciano,800192,S5,17/09/1997,1419244663
Ma Defilippo,314901,S5,5/11/1997,1984136522
Laurel Heiser,788271,S5,7/12/1997,3692583833
Denisse Partain,547276,S5,12/5/1996,2455092142
Mistie Koenig,522254,S5,30/05/1996,4007512587
Arletta Schapiro,917790,S5,7/7/1996,7533031163
Olene Townley,371904,S5,24/07/1996,5099488502
Harlan Hullinger,141326,S5,2/8/1996,5255411225
Cyndy Eisenbarth,401053,S5,13/08/1996,3842344853
Lavonna Dominick,360221,S5,8/9/1996,8673329153
Murray Reels,282365,S5,28/11/1996,3734158750
Basilia Doughty,288347,S5,2/12/1996,7960708961
Lavonne Brayton,892821,S5,14/12/1996,3845132300
Joanne Laiche,153465,S5,22/12/1996,6783335785
Romeo Didier,855841,S5,6/1/1997,6339144299
Tenesha Mitchel,234563,S5,19/03/1997,4330876479
Hien Selander,578181,S5,24/03/1997,2315329353
Kristy Eisner,638171,S5,11/5/1997,9645983492
Andria Wynter,180439,S5,4/6/1997,7459118628
Tomeka Morais,370291,S5,2/9/1997,9515822309
Rina Serafini,849567,S5,8/9/1997,6009284754
Prudence Fuhrman,540261,S5,15/09/1997,9238794312
Sally Ivory,366753,S5,24/09/1997,2993195009
Marchelle Prim,904855,S5,29/09/1997,4752095428
Kenyetta Carruth,990043,S5,15/10/1997,3519878346
Rayford Treadway,616711,S5,30/11/1997,3100708963
Olen Bassi,291797,S5,24/12/1997,9670784723
Marisela Mathes,234521,S5,30/12/1997,9867958458
