Name,Roll Number,Class,DOB,Contact
Jules Ostler,435077,S1,7/5/1996,2428174465
Willodean Tobar,583430,S1,27/05/1996,9444358575
Omer Combest,622173,S1,28/06/1996,3894682952
Irmgard Batten,582104,S1,8/8/1996,7815341031
Sabina Jasmin,496713,S1,13/11/1996,5729361357
Veda Shack,515584,S1,20/03/1997,1680075154
Shayna Bibbs,572788,S2,17/05/1997,6692275637
Joi Kilroy,515386,S2,10/6/1997,7092692436
Madalene Portis,597852,S2,23/05/1996,1279451636
Kirsten Huwe,595474,S2,18/06/1996,5738727115
Long Reed,462821,S2,1/8/1996,6978771159
Shelba Becerra,581778,S2,16/08/1996,8267365955
Freda Steidl,452627,S2,13/02/1997,9243671627
Margorie Fuentez,561485,S2,16/03/1997,8462441793
Brianne Gassner,531207,S2,14/04/1997,6747211367
Gertrud Roderick,593813,S2,17/10/1997,8836045938
Jestine Corbeil,492585,S3,3/6/1997,1397527032
Major Cacho,452492,S3,21/06/1997,1502198543
Oliver Tippin,557947,S3,7/3/1997,1437665842
Tova Pearman,541618,S3,5/7/1997,5968019506
Melaine Rotter,503149,S4,31/08/1997,7817313503
Contessa Hampshire,438273,S4,15/08/1996,9129521025
Fidel Brunton,549816,S4,31/10/1996,1566687280
Rebecca Aldinger,451790,S4,2/3/1997,2334827989
Mariah Ugalde,571861,S4,19/06/1997,7013107961
Jovita Cratty,595143,S4,22/07/1997,6471840332
Alysa Spurlin,585671,S4,1/9/1997,1665736670
Hertha Banton,564275,S4,7/9/1997,1893902553
Lu Villareal,584346,S4,16/12/1997,9078141876
Nieves Landin,500910,S4,22/09/1996,3659324875
Livia Preuss,495576,S4,30/09/1996,5931089482
Elvis Federico,509974,S4,24/03/1997,4651101523
Sherryl Moffitt,486271,S4,25/03/1997,4520577135
Raquel Duck,574021,S4,20/05/1997,9787842232
Vincenzo Viger,521380,S5,9/8/1997,5831184766
Lori Sea,450711,S5,10/9/1997,8819372748
Denisse Partain,547276,S5,12/5/1996,2455092142
Mistie Koenig,522254,S5,30/05/1996,4007512587
Hien Selander,578181,S5,24/03/1997,2315329353
Prudence Fuhrman,540261,S5,15/09/1997,9238794312
Rayford Treadway,616711,S5,30/11/1997,3100708963
